"panel","id","x","y","label","cohort","mechanism","n","events","accession","x_end","y_end","x_start","y_start","edge_type","branch","reason","n_samples","share_of_accession_samples","raw_accession_samples","final_participants","cohort_short","cohorts","participants","evidence_unit","branch_display"
"a_accession_nodes","GSE16879",0,6.8,"GSE16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_accession_nodes","GSE73661",0,5.4,"GSE73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_accession_nodes","GSE23597",0,4,"GSE23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_accession_nodes","GSE92415",0,2.6,"GSE92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_accession_nodes","GSE206285",0,1.2,"GSE206285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_cohort_nodes","GSE16879 IFX",1,7,"IFX · 16879
n=24","GSE16879 IFX","anti-TNF",24,8,"GSE16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_cohort_nodes","GSE73661 IFX",1,6,"IFX · 73661
n=23","GSE73661 IFX","anti-TNF",23,8,"GSE73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_cohort_nodes","GSE23597 IFX",1,5,"IFX · 23597
n=31","GSE23597 IFX","anti-TNF",31,24,"GSE23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_cohort_nodes","GSE92415 golimumab",1,4,"GLM · 92415
n=59","GSE92415 golimumab","anti-TNF",59,32,"GSE92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_cohort_nodes","GSE206285 ustekinumab",1,3,"UST · 206285
n=364","GSE206285 ustekinumab","anti-IL12/23",364,49,"GSE206285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
