"panel","cohort","mechanism","endpoint","arm","score","estimand","n","events","non_events","log_odds","odds_ratio","ci_lower","ci_upper","p_value","cohort_short","Inflammation_z","probability","p_nonlinearity","linear_AIC","spline_AIC","delta_AIC","minus_log10_p","omitted","k","tau2","I2","label","group","model","module"
"a_complete_cohort_forest","GSE16879 IFX","anti-TNF","Week 4–6 endoscopic response","Active","Inflammation_z","Response OR per 1-SD baseline score",24,8,16,-1.78790666090036,0.167310039989137,0.0299174807905216,0.525522408469665,0.000840612888432624,"IFX · 16879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE73661 IFX","anti-TNF","Week 4–6 endoscopic response","Active","Inflammation_z","Response OR per 1-SD baseline score",23,8,15,-1.87401401320871,0.153506247384667,0.0224463790632141,0.58409484755463,0.003853907978423,"IFX · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE23597 IFX","anti-TNF","Week 8 clinical response","Active","Inflammation_z","Response OR per 1-SD baseline score",31,24,7,-0.750715118808066,0.472028875288987,0.158023872197995,1.1426076695892,0.0988863677031175,"IFX · 23597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE92415 golimumab","anti-TNF","Week 6 clinical response","Active","Inflammation_z","Response OR per 1-SD baseline score",59,32,27,-0.753354465396753,0.470784670153798,0.248801129763342,0.829189766775888,0.00824925961022493,"GLM · 92415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE206285 ustekinumab","anti-IL12/23","Week 8 clinical remission","Active","Inflammation_z","Response OR per 1-SD baseline score",364,49,315,-0.802452708638524,0.448228241513121,0.303739663003371,0.637730711156579,2.94926035282472e-06,"UST · 206285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE73661 VDZ trial","anti-integrin","Week 6 response","Active","Inflammation_z","Response OR per 1-SD baseline score",27,6,21,-0.674488744130987,0.509416796369477,0.203197605251241,1.1479625122089,0.103879988400175,"VDZ trial · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_complete_cohort_forest","GSE73661 VDZ observational","anti-integrin","Week 12 response","Active","Inflammation_z","Response OR per 1-SD baseline score",13,3,10,-0.528658165106876,0.589395310499796,0.186467352557416,1.64520160174527,0.307099075733783,"VDZ obs · 73661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25171651734525e-06,1,NA,"IFX · 16879",-1.75993008850712,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70775211703714e-06,1,NA,"IFX · 16879",-1.72758109898184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39028251050841e-05,1,NA,"IFX · 16879",-1.69523210945656,0.999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49350688755088e-05,1,NA,"IFX · 16879",-1.66288311993128,0.99999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44393240339014e-05,1,NA,"IFX · 16879",-1.630534130406,0.999999999999941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86478088396578e-05,1,NA,"IFX · 16879",-1.59818514088072,0.999999999999655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000138125958438153,1,NA,"IFX · 16879",-1.56583615135544,0.99999999999801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000240565096367707,1,NA,"IFX · 16879",-1.53348716183016,0.999999999988822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000415189460438837,1,NA,"IFX · 16879",-1.50113817230488,0.999999999938905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000709557999518081,1,NA,"IFX · 16879",-1.4687891827796,0.999999999675771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00119979050859913,1,NA,"IFX · 16879",-1.43644019325432,0.999999998332546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00200545647761026,1,NA,"IFX · 16879",-1.40409120372904,0.999999991706381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
